product_id,price,quantity,category
12,6.76,49,food
87,6.64,57,food
24,6.75,5,tech
51,5.41,52,clothes
46,6.01,72,food
94,4.39,81,tech
41,7.84,93,tech
16,7.33,33,clothes
78,5.56,71,clothes
97,9.44,2,clothes
56,9.7,72,food
86,4.05,15,tech
3,6.64,9,food
72,3.16,29,tech
6,8.37,35,tech
30,3.43,95,food
13,6.3,3,tech
81,8.53,31,clothes
44,8.28,7,tech
77,7.58,33,clothes
38,3.59,40,food
14,6.4,15,tech
68,7.0,14,food
27,8.39,91,food
73,8.84,9,tech
38,3.84,3,tech
13,3.79,10,food
73,3.09,82,tech
87,1.79,63,food
37,5.73,13,food
70,2.29,72,tech
91,5.96,73,food
91,9.17,62,tech
48,1.92,89,food
72,7.11,100,clothes
63,8.55,50,clothes
12,8.83,42,tech
44,9.27,73,food
19,5.81,23,clothes
77,5.03,16,clothes
1,7.48,61,clothes
10,6.31,21,tech
16,9.48,78,tech
54,4.82,100,food
69,4.61,52,food
48,9.65,45,tech
70,4.02,59,tech
11,5.55,77,clothes
66,6.89,99,food
74,9.26,41,clothes
