product_id,price,quantity,category
73,2.36,10,food
14,1.82,86,tech
80,6.59,11,tech
81,4.26,64,food
8,3.43,85,food
66,5.01,57,clothes
21,2.57,55,clothes
7,8.13,16,clothes
39,5.37,10,food
37,4.48,13,food
7,3.61,53,tech
32,1.64,70,tech
48,9.55,60,tech
36,9.19,98,food
67,2.9,63,tech
88,6.26,3,tech
81,1.94,31,clothes
83,1.96,21,clothes
87,6.69,50,tech
91,2.87,80,food
0,2.38,96,food
15,1.6,34,food
21,4.92,24,clothes
84,2.04,75,food
75,8.57,35,clothes
45,7.68,72,clothes
79,7.9,12,clothes
61,4.67,27,tech
41,7.85,67,tech
77,7.76,38,clothes
34,8.32,41,clothes
12,6.77,77,clothes
87,5.2,3,clothes
71,7.02,21,food
88,9.26,20,food
11,7.19,92,food
27,5.52,55,tech
44,9.37,16,food
59,2.67,95,tech
34,3.59,43,food
71,4.93,53,food
39,1.84,57,tech
18,8.11,78,food
19,5.69,12,clothes
81,2.64,59,tech
24,5.02,41,tech
2,9.1,69,food
69,4.64,19,clothes
54,6.19,80,clothes
11,9.88,84,tech
